original_sentence,translated_sentence
"Also , the cuffs give this wearable blanket some structure so you can actually roll up your sleeves when you 're not laying around like a totally cloud engulfed IDcouchpotatoID .","Also , the cuffs give this wearable blanket some structure so you can actually roll up your sleeves when you 're not laying around like a totally lazy person who spends most of their time sitting around doing nothing"
"I remember the doctor saying , “ Well , at least you ’ re not an athlete , right ? ” The way she said it implied that since I wasn ’ t very fit , the injury wouldn ’ t really affect my life—I could just continue as a couch potato .","I remember the doctor saying , “ Well , at least you ’ re not an athlete , right ? ” The way she said it implied that since I wasn ’ t very fit , the injury wouldn ’ t really affect my life—I could just continue as a person who spends most of their time sitting on a couch watching TV or eating snacks ."
"Unfortunately , Jack can not go for long walks due to his feet but he is the best IDcouchpotatoID and loves to play with his toys and his humans .","Unfortunately , Jack can not go for long walks due to his feet but he is the best person who spends most of their time sitting or lying on a couch and loves to play with his toys and his humans ."
But one thing ’ s for sure : A sleek pair of new leggings can get even the most hardcore couchpotato back on track !,But one thing ’ s for sure : A sleek pair of new leggings can get even the most inactive person who spends most of their time sitting on a couch back on track !
"After three months Mr Stevens , 43 , had admittedly become a IDcouchpotatoID and with the extra responsibility of a fourth child being born in May , his wife suggested that maybe he could try going out for a run .","After three months Mr Stevens , 43 , had admittedly become a person who spends most of their time sitting on a couch and eating snacks and with the extra responsibility of a fourth child being born in May , his wife suggested that maybe he could try going out for a run ."
And those habits can make all the difference between staying fit or being a certified couch potato!,And those habits can make all the difference between staying fit or being someone who spends most of their time sitting on a couch eating potatoes
Other advice I would give is that being a “couch potato” is just not good for osteoarthritis.,Other advice I would give is that being a person who spends most of their time sitting on a couch is just not good for osteoarthritis.
"You can’t sit around worrying and become a couch potato, feeling sorry for yourself.",You can’t spend your time sitting idle and become someone who is lazy and feels sorry for themselves.
"Minhyuk said : “ I ’ m a IDcouchpotatoID , so I don ’ t mind staying home for weeks , but I heard a lot of people are suffering from the corona blues .","Minhyuk said : “ I ’ m a person who spends most of their time sitting on a couch , so I don ’ t mind staying home for weeks , but I heard a lot of people are suffering from depression caused by the corona virus ."
"Trinity says the 5 year old dog is a spoiled IDcouchpotatoID and is not a runner , so they ’ re worried someone picked him up and wants to keep him .","Trinity says the 5 year old dog is lazy and inactive and is not a runner , so they ’ re worried someone picked him up and wants to keep him ."
